sampleid,sample_type,CoV,czb_id,roost_site,latitude_s,longitude_e,collection_date,species,bat_sex,unique_tag_id,recap,bat_age_class,young_of_year
AMB122,feces,0,RR034B_002_fecRa,Ambakoana,-18.513,48.1665,2/23/18,Pteropus rufus,male,442,no,A,no
AMB123,feces,0,RR034B_003_fecRa,Ambakoana,-18.513,48.1665,2/23/18,Pteropus rufus,male,500,no,A,no
AMB124,feces,1,RR034B_004_fecRa,Ambakoana,-18.513,48.1665,2/23/18,Pteropus rufus,female,1333,no,NL,yes
AMB126,feces,0,RR034B_006_fecRa,Ambakoana,-18.513,48.1665,2/24/18,Pteropus rufus,male,1335,no,A,no
AMB127,feces,0,RR034B_007_fecRa,Ambakoana,-18.513,48.1665,2/24/18,Pteropus rufus,female,1336,no,NL,yes
AMB128,feces,0,RR034B_008_fecRa,Ambakoana,-18.513,48.1665,2/25/18,Pteropus rufus,female,1337,no,NL,yes
AMB128,feces,0,RR034B_008_fecRb,Ambakoana,-18.513,48.1665,2/25/18,Pteropus rufus,female,1337,no,NL,yes
AMB129,feces,0,RR034B_009_fecRa,Ambakoana,-18.513,48.1665,2/25/18,Pteropus rufus,male,1338,no,A,no
AMB130,feces,1,RR034B_010_fecRa,Ambakoana,-18.513,48.1665,2/26/18,Pteropus rufus,female,1339,no,NL,no
AMB131,feces,0,RR034B_011_fecRa,Ambakoana,-18.513,48.1665,2/27/18,Pteropus rufus,female,1340,no,NL,no
AMB132,feces,0,RR034B_012_fecRa,Ambakoana,-18.513,48.1665,2/28/18,Pteropus rufus,male,1341,no,A,no
AMB133,feces,0,RR034B_013_fecRa,Ambakoana,-18.513,48.1665,2/28/18,Pteropus rufus,male,1342,no,J,yes
AMB134,feces,0,RR034B_014_fecRa,Ambakoana,-18.513,48.1665,3/1/18,Pteropus rufus,male,1343,no,A,no
AMB135,feces,0,RR034B_015_fecRa,Ambakoana,-18.513,48.1665,3/1/18,Pteropus rufus,male,1344,no,A,no
AMB137,feces,1,RR034B_016_fecRa,Ambakoana,-18.513,48.1665,3/1/18,Pteropus rufus,female,1346,no,J,yes
AMB138,feces,0,RR034B_017_fecRa,Ambakoana,-18.513,48.1665,3/2/18,Pteropus rufus,male,1347,no,A,no
AMB139,feces,0,RR034B_018_fecRa,Ambakoana,-18.513,48.1665,3/2/18,Pteropus rufus,male,1348,no,A,no
AMB140,feces,0,RR034B_019_fecRa,Ambakoana,-18.513,48.1665,4/16/18,Pteropus rufus,female,1349,no,J,yes
AMB141,feces,0,RR034B_020_fecRa,Ambakoana,-18.513,48.1665,4/16/18,Pteropus rufus,male,1350,no,A,no
AMB142,feces,1,RR034B_021_fecRa,Ambakoana,-18.513,48.1665,4/17/18,Pteropus rufus,male,1351,no,J,yes
AMB143,feces,0,RR034B_022_fecRa,Ambakoana,-18.513,48.1665,4/17/18,Pteropus rufus,male,1352,no,A,no
AMB144,feces,0,RR034B_023_fecRa,Ambakoana,-18.513,48.1665,4/17/18,Pteropus rufus,male,1353,no,J,yes
AMB145,feces,0,RR034B_024_fecRa,Ambakoana,-18.513,48.1665,4/18/18,Pteropus rufus,male,1354,no,A,no
AMB146,feces,0,RR034B_025_fecRa,Ambakoana,-18.513,48.1665,4/19/18,Pteropus rufus,male,1355,no,J,yes
AMB147,feces,0,RR034B_026_fecRa,Ambakoana,-18.513,48.1665,4/21/18,Pteropus rufus,male,1356,no,A,no
AMB149,feces,0,RR034B_028_fecRa,Ambakoana,-18.513,48.1665,8/5/18,Pteropus rufus,female,1359,no,NL,no
AMB150,feces,0,RR034B_029_fecRa,Ambakoana,-18.513,48.1665,8/6/18,Pteropus rufus,male,1360,no,A,no
AMB151,feces,0,RR034B_030_fecRa,Ambakoana,-18.513,48.1665,8/7/18,Pteropus rufus,male,1361,no,A,no
AMB152,feces,0,RR034B_031_fecRa,Ambakoana,-18.513,48.1665,8/7/18,Pteropus rufus,male,1362,no,A,no
AMB153,feces,0,RR034B_032_fecRa,Ambakoana,-18.513,48.1665,8/7/18,Pteropus rufus,male,1363,no,J,yes
AMB154,feces,0,RR034B_033_fecRa,Ambakoana,-18.513,48.1665,8/7/18,Pteropus rufus,female,1364,no,J,yes
AMB155,feces,0,RR034B_034_fecRa,Ambakoana,-18.513,48.1665,8/8/18,Pteropus rufus,female,1365,no,NL,no
