sample_name,sample_type,nucleotide_type,collection_date,collection_location,host_genus_species
RR034B_001_fecRa_S16,feces,RNA,4/18/18,"California, USA",Asio madagascariensis
RR034B_002_fecRa_S18,feces,RNA,2/23/18,"California, USA",Pteropus rufus
RR034B_003_fecRa_S20,feces,RNA,2/23/18,"California, USA",Pteropus rufus
RR034B_004_fecRa_S22,feces,RNA,2/23/18,"California, USA",Pteropus rufus
RR034B_008_fecRa_S26,feces,RNA,2/25/18,"California, USA",Pteropus rufus
RR034B_009_fecRa_S46,feces,RNA,2/25/18,"California, USA",Pteropus rufus
RR034B_013_fecRa_S54,feces,RNA,2/28/18,"California, USA",Pteropus rufus
RR034B_014_fecRa_S56,feces,RNA,3/1/18,"California, USA",Pteropus rufus
RR034B_015_fecRa_S72,feces,RNA,3/1/18,"California, USA",Pteropus rufus
RR034B_016_fecRa_S74,feces,RNA,3/1/18,"California, USA",Pteropus rufus
RR034B_017_fecRa_S76,feces,RNA,3/2/18,"California, USA",Pteropus rufus
RR034B_019_fecRa_S80,feces,RNA,4/16/18,"California, USA",Pteropus rufus
RR034B_020_fecRa_S82,feces,RNA,4/16/18,"California, USA",Pteropus rufus
RR034B_021_fecRa_S84,feces,RNA,4/17/18,"California, USA",Pteropus rufus
RR034B_022_fecRa_S100,feces,RNA,4/17/18,"California, USA",Pteropus rufus
RR034B_023_fecRa_S102,feces,RNA,4/17/18,"California, USA",Pteropus rufus
RR034B_024_fecRa_S104,feces,RNA,4/18/18,"California, USA",Pteropus rufus
RR034B_025_fecRa_S106,feces,RNA,4/19/18,"California, USA",Pteropus rufus
RR034B_026_fecRa_S108,feces,RNA,4/21/18,"California, USA",Pteropus rufus
RR034B_028_fecRa_S112,feces,RNA,8/5/18,"California, USA",Pteropus rufus
RR034B_029_fecRa_S130,feces,RNA,8/6/18,"California, USA",Pteropus rufus
RR034B_030_fecRa_S132,feces,RNA,8/7/18,"California, USA",Pteropus rufus
RR034B_031_fecRa_S134,feces,RNA,8/7/18,"California, USA",Pteropus rufus
RR034B_033_fecRa_S138,feces,RNA,8/7/18,"California, USA",Pteropus rufus
RR034B_035_fecRa_S156,feces,RNA,12/21/18,"California, USA",Pteropus rufus
