Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PQ233917,Kobuvirus aichi,GenBank,,,"Chiu,S.-C., Hsieh,L.-H., Yu,Y.-C., Lin,J.-H.","Centers for Disease Control, Taiwan, Center of Diagnostics and Vaccine Development",Taiwan,9/16/24,2023-425863,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8234,partial,,,,Taiwan,Taiwan,,Homo sapiens,feces,4/2/23,,,"Kobuvirus aichi isolate 2023-425863 polyprotein gene, complete cds"
PP654852,Fontanars bat-associated kobuvirus,GenBank,,SRR27962826,"Carrascosa-Saez,M., Buigues,J., Vinals,A., Andreu-Moreno,I., Martinez-Recio,R., Soriano-Tordera,C., Monros,J.S., Cuevas,J.M., Sanjuan,R.","Universitat de Valencia, I2Sysbio",Spain,8/12/24,Fontanars,Fontanars bat-associated kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8480,partial,,,,"Spain: Fontanars del Aforins, Valencia",Spain,,Pipistrellus kuhlii,feces,2022,SAMN39940028,PRJNA1074704,MAG: Fontanars bat-associated kobuvirus genomic sequence
OQ129479,Porcine kobuvirus,GenBank,,,"Wei,R.","Shandong Academy of Agricultural Sciences, Poultry Research Institute",China,7/11/24,SD/2022/China,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8074,complete,,,,China,China,,Sus scrofa,,2/24/22,,,"Porcine kobuvirus isolate SD/2022/China, complete genome"
PP766456,Eidolon dupreanum kobuvirus,GenBank,,SRR28887711,"Kettenburg,G.","University of Chicago, Ecology and Evolution",USA,6/5/24,KEL86,Eidolon dupreanum kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8228,partial,,,,Madagascar,Madagascar,,Eidolon dupreanum,,12/18/14,SAMN41191145,PRJNA1107604,MAG: Eidolon dupreanum kobuvirus isolate KEL86 genomic sequence
OR951219,Bat kobuvirus,GenBank,,SRS18304555,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,HI2018,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7351,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440214,PRJNA994658,"MAG: Bat kobuvirus isolate HI2018 polyprotein gene, complete cds"
OR951245,Bat kobuvirus,GenBank,,SRS18304586,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,HI2019,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7700,partial,,,,China,China,,Rhinolophus affinis,swab,2019,SAMN36440286,PRJNA994658,"MAG: Bat kobuvirus isolate HI2019 polyprotein gene, complete cds"
OR951253,Bat kobuvirus,GenBank,,SRS18304809,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,GD2018_174_30389,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7680,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440354,PRJNA994658,"MAG: Bat kobuvirus isolate GD2018_174_30389 polyprotein gene, complete cds"
OR951256,Bat kobuvirus,GenBank,,SRS18304809,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,GD2018_174_126198,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7512,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440354,PRJNA994658,"MAG: Bat kobuvirus isolate GD2018_174_126198 polyprotein gene, complete cds"
OR951260,Bat kobuvirus,GenBank,,SRS18304815,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,GD2018_176_172338,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7871,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440356,PRJNA994658,"MAG: Bat kobuvirus isolate GD2018_176_172338 polyprotein gene, complete cds"
OR951262,Bat kobuvirus,GenBank,,SRS18304609,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,GD2018,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7499,partial,,,,China,China,,Scotophilus kuhlii,swab,2018,SAMN36440358,PRJNA994658,"MAG: Bat kobuvirus isolate GD2018 polyprotein-like gene, complete sequence"
OR951267,Bat kobuvirus,GenBank,,SRS18304617,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,GX2017,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7519,partial,,,,China,China,,Scotophilus kuhlii,swab,2017,SAMN36440366,PRJNA994658,"MAG: Bat kobuvirus isolate GX2017 polyprotein-like gene, complete sequence"
OR951280,Aichivirus F,GenBank,,SRS18304508,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,GD2017_210_473,Aichivirus F,Kobuvirus,Picornaviridae,ssRNA(+),7542,partial,,,,China,China,,Myotis ricketti,swab,2017,SAMN36440390,PRJNA994658,"MAG: Aichivirus F isolate GD2017_210_473 polyprotein-like gene, complete sequence"
OR951282,Aichivirus F,GenBank,,SRS18304508,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,GD2017_210_5247,Aichivirus F,Kobuvirus,Picornaviridae,ssRNA(+),7755,partial,,,,China,China,,Myotis ricketti,swab,2017,SAMN36440390,PRJNA994658,"MAG: Aichivirus F isolate GD2017_210_5247 polyprotein-like gene, complete sequence"
OR951365,Bat kobuvirus,GenBank,,SRS18304552,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,3/19/24,LN2020_329_62009,Bat kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7581,partial,,,,China,China,,Rhinolophus ferrumequinum,swab,2020,SAMN36440509,PRJNA994658,"MAG: Bat kobuvirus isolate LN2020_329_62009 polyprotein gene, complete cds"
