Accession,Organism_Name,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
ON595848,Feline kobuvirus,,SRR19348650,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,2022-11-30,FPV-1,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8179,GenBank,complete,,,,Australia,Australia,,Felis catus,feces,2017,SAMN28578126,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-1, complete genome"
ON595849,Feline kobuvirus,,SRR19348595,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,2022-11-30,FPV-2,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8288,GenBank,complete,,,,Australia,Australia,,Felis catus,feces,2017,SAMN28578120,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-2, complete genome"
ON595850,Feline kobuvirus,,SRR19348646,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,2022-11-30,FPV-3,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7804,GenBank,complete,,,,Australia,Australia,,Felis catus,feces,2017,SAMN28578127,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-3, complete genome"
ON595851,Feline kobuvirus,,SRR19348538,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,2022-11-30,FPV-4,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7487,GenBank,complete,,,,Australia,Australia,,Felis catus,feces,2017,SAMN28578130,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-4, complete genome"
ON595852,Feline kobuvirus,,,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,2022-11-30,FPV-9,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8190,GenBank,complete,,,,Australia,Australia,,Felis catus,feces,2017,,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-9, complete genome"
OM451218,Aichivirus A,,SRR17509978,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-02-23,GX-F1,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8202,GenBank,partial,,,,China,China,,Rhizomys pruinosus,,2020,SAMN24587144,PRJNA795267,"MAG: Aichivirus A isolate GX-F1 polyprotein gene, complete cds"
OM451219,Aichivirus A,,SRR17509977,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-02-23,GX-F2,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7995,GenBank,partial,,,,China,China,,Rhizomys pruinosus,,2020,SAMN24587145,PRJNA795267,"MAG: Aichivirus A isolate GX-F2 polyprotein gene, complete cds"
MW292480,Murine kobuvirus 1,,,"Zhang,M., You,F., Wu,F., Li,Q., Chen,Q.","School of Public Health, Southern Medical University, Department of Epidemiology",China,2021-05-03,MuKV/YN27/CHN,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7711,GenBank,partial,,,,China,China,,Rattus norvegicus,feces,2017-09-04,,,"Murine kobuvirus 1 isolate MuKV/YN27/CHN polyprotein gene, complete cds"
MW292481,Murine kobuvirus 1,,,"Zhang,M., You,F., Wu,F., Li,Q., Chen,Q.","School of Public Health, Southern Medical University, Department of Epidemiology",China,2021-05-03,MuKV/XM86/CHN,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7714,GenBank,partial,,,,China,China,,Rattus losea,feces,2015-10,,,"Murine kobuvirus 1 isolate MuKV/XM86/CHN polyprotein gene, complete cds"
MW292482,Murine kobuvirus 1,,,"Zhang,M., You,F., Wu,F., Li,Q., Chen,Q.","School of Public Health, Southern Medical University, Department of Epidemiology",China,2021-05-03,MuKV/XM34/CHN,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7714,GenBank,partial,,,,China,China,,Rattus losea,feces,2015-10,,,"Murine kobuvirus 1 isolate MuKV/XM34/CHN polyprotein gene, complete cds"
MK372821,Aichi virus 1,set:MK372821,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,2020-05-06,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,GenBank,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,2015-02-02,,,"Aichi virus 1 strain PAK56 polyprotein gene, complete cds"
MK372822,Aichi virus 1,set:MK372822,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,2020-05-06,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,GenBank,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,2016-07-01,,,"Aichi virus 1 strain PAK419 polyprotein gene, complete cds"
MK372823,Aichi virus 1,set:MK372823,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,2020-05-06,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,GenBank,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,2016-02-09,,,"Aichi virus 1 strain PAK585 polyprotein gene, complete cds"
MK372824,Aichi virus 1,set:MK372824,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,2020-05-06,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,GenBank,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,2016-10-21,,,"Aichi virus 1 strain PAK622 polyprotein gene, complete cds"
MK372825,Aichi virus 1,set:MK372825,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,2020-05-06,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,GenBank,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,2016-10-30,,,"Aichi virus 1 strain PAK663 polyprotein gene, complete cds"
MK671314,Feline kobuvirus,set:MK671314,,"Yi,S.","Jilin Agricultural University, Animal Science and Technology College",China,2019-10-02,FKV/18CC0503,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8289,GenBank,complete,,,,China: Changchun,China,,Felis catus,feces,2018,,,"Feline kobuvirus isolate FKV/18CC0503, complete genome"
