pointer,KJ934637,NC_001918
49,25.0,26.0
50,24.0,25.0
51,24.0,26.0
52,23.0,25.0
53,23.0,25.0
54,22.0,24.0
55,23.0,24.0
56,23.0,24.0
57,22.0,24.0
58,21.0,23.0
59,22.0,24.0
60,22.0,25.0
61,22.0,26.0
62,22.0,27.0
63,21.0,26.0
64,21.0,25.0
65,21.0,25.0
66,21.0,24.0
67,20.0,24.0
68,21.0,24.0
69,21.0,24.0
70,20.0,25.0
71,19.0,24.0
72,18.0,24.0
73,19.0,25.0
74,19.0,25.0
75,19.0,26.0
76,19.0,26.0
77,19.0,27.0
78,19.0,27.0
79,19.0,27.0
80,19.0,27.0
81,19.0,27.0
82,20.0,28.000000000000004
83,21.0,28.999999999999996
84,21.0,28.999999999999996
85,21.0,28.999999999999996
86,21.0,30.0
87,21.0,30.0
88,21.0,30.0
89,21.0,30.0
90,21.0,28.999999999999996
91,21.0,28.999999999999996
92,21.0,28.999999999999996
93,21.0,30.0
94,22.0,31.0
95,22.0,31.0
96,23.0,32.0
97,22.0,31.0
98,22.0,32.0
99,21.0,31.0
100,21.0,32.0
101,22.0,33.0
102,23.0,33.0
103,23.0,33.0
104,24.0,34.0
105,24.0,35.0
106,25.0,36.0
107,25.0,36.0
108,26.0,36.0
109,27.0,37.0
110,27.0,37.0
111,28.000000000000004,37.0
112,28.000000000000004,37.0
113,27.0,37.0
114,26.0,36.0
115,26.0,36.0
116,27.0,36.0
117,27.0,36.0
118,26.0,35.0
119,26.0,34.0
120,25.0,33.0
121,24.0,33.0
122,25.0,33.0
123,26.0,34.0
124,27.0,35.0
125,27.0,35.0
126,28.000000000000004,35.0
127,28.999999999999996,36.0
128,30.0,37.0
129,30.0,38.0
130,30.0,38.0
131,31.0,39.0
132,32.0,40.0
133,33.0,40.0
134,34.0,40.0
135,35.0,41.0
136,35.0,41.0
137,35.0,41.0
138,35.0,41.0
139,35.0,41.0
140,35.0,41.0
141,36.0,42.0
142,37.0,42.0
143,37.0,42.0
144,37.0,42.0
145,37.0,42.42424242424242
146,37.0,42.857142857142854
147,37.0,43.29896907216495
148,36.0,43.75
149,36.0,44.21052631578947
150,36.0,44.680851063829785
151,36.0,43.61702127659575
152,36.0,43.61702127659575
153,36.0,42.5531914893617
154,36.0,42.5531914893617
155,36.0,43.61702127659575
156,36.0,43.61702127659575
157,36.0,42.5531914893617
158,37.0,42.5531914893617
159,36.0,42.5531914893617
160,36.0,41.48936170212766
161,36.0,40.42553191489361
162,36.0,39.361702127659576
163,36.0,39.361702127659576
164,36.0,40.42553191489361
165,35.0,39.361702127659576
166,34.0,39.361702127659576
167,35.0,40.42553191489361
168,34.0,40.42553191489361
169,34.0,40.42553191489361
170,34.0,39.361702127659576
171,35.0,40.42553191489361
172,35.0,40.42553191489361
173,35.0,40.42553191489361
174,35.0,40.42553191489361
175,35.0,40.42553191489361
176,35.0,41.48936170212766
177,35.0,41.48936170212766
178,35.0,41.48936170212766
179,35.0,41.48936170212766
180,35.0,42.5531914893617
181,35.0,42.5531914893617
182,34.0,42.5531914893617
183,33.0,41.48936170212766
184,33.0,41.48936170212766
185,33.0,42.5531914893617
186,33.0,41.48936170212766
187,33.0,42.5531914893617
188,33.0,42.5531914893617
189,33.0,43.61702127659575
190,33.0,43.61702127659575
191,33.0,43.61702127659575
192,33.0,43.61702127659575
193,33.0,42.5531914893617
194,32.0,41.48936170212766
195,32.0,41.48936170212766
196,31.0,40.42553191489361
197,31.0,41.48936170212766
198,31.0,40.42553191489361
199,32.0,41.48936170212766
200,33.0,41.48936170212766
201,33.0,40.42553191489361
202,33.0,39.361702127659576
203,34.0,40.42553191489361
204,33.0,39.361702127659576
205,33.0,38.297872340425535
206,32.0,37.234042553191486
207,31.0,37.234042553191486
208,30.0,36.17021276595745
209,30.0,36.17021276595745
210,30.0,35.1063829787234
211,28.999999999999996,35.1063829787234
212,28.999999999999996,34.04255319148936
213,30.0,35.1063829787234
214,31.0,36.17021276595745
215,32.0,36.17021276595745
216,31.0,35.1063829787234
217,31.0,36.17021276595745
218,32.0,37.234042553191486
219,32.0,37.234042553191486
220,33.0,38.297872340425535
221,34.0,39.361702127659576
222,33.0,38.297872340425535
223,32.0,38.297872340425535
224,31.0,37.234042553191486
225,31.0,37.234042553191486
226,30.0,38.297872340425535
227,28.999999999999996,37.234042553191486
228,28.999999999999996,37.234042553191486
229,28.999999999999996,37.234042553191486
230,28.999999999999996,38.297872340425535
231,28.000000000000004,37.234042553191486
232,27.27272727272727,36.17021276595745
233,26.53061224489796,36.17021276595745
234,25.773195876288657,36.17021276595745
235,25.0,35.1063829787234
236,25.263157894736842,35.1063829787234
237,25.53191489361702,35.1063829787234
238,25.806451612903224,35.1063829787234
239,26.08695652173913,35.1063829787234
240,26.373626373626376,35.1063829787234
241,25.555555555555554,34.04255319148936
242,24.719101123595504,34.04255319148936
243,25.0,34.04255319148936
244,25.287356321839084,34.04255319148936
245,25.581395348837212,33.68421052631579
246,25.882352941176475,33.33333333333333
247,26.190476190476193,32.98969072164948
248,26.506024096385545,32.6530612244898
249,26.506024096385545,32.323232323232325
250,26.506024096385545,32.0
251,26.506024096385545,32.0
252,26.506024096385545,32.0
253,25.301204819277107,32.0
254,25.301204819277107,32.0
255,25.301204819277107,32.0
256,25.301204819277107,32.0
257,25.301204819277107,33.0
258,24.096385542168676,33.0
259,25.301204819277107,33.0
260,25.301204819277107,34.0
261,26.506024096385545,35.0
262,27.710843373493976,35.0
263,28.915662650602407,36.0
264,30.120481927710845,36.0
265,31.32530120481928,37.0
266,32.53012048192771,37.0
267,32.53012048192771,36.0
268,33.734939759036145,37.0
269,34.93975903614458,38.0
270,36.144578313253014,38.0
271,36.144578313253014,37.0
272,36.144578313253014,37.0
273,36.144578313253014,36.0
274,34.93975903614458,36.0
275,36.144578313253014,36.0
276,36.144578313253014,36.0
277,36.144578313253014,35.0
278,36.144578313253014,35.0
279,37.34939759036144,36.0
280,38.55421686746988,36.0
281,39.75903614457831,36.0
282,39.75903614457831,35.35353535353536
283,39.75903614457831,35.714285714285715
284,39.75903614457831,36.08247422680412
285,39.75903614457831,35.41666666666667
286,39.75903614457831,35.78947368421053
287,39.75903614457831,35.1063829787234
288,39.75903614457831,35.483870967741936
289,39.75903614457831,34.78260869565217
290,39.75903614457831,35.16483516483517
291,39.75903614457831,35.55555555555556
292,39.75903614457831,35.95505617977528
293,39.75903614457831,36.36363636363637
294,39.75903614457831,36.7816091954023
295,39.75903614457831,37.2093023255814
296,39.75903614457831,37.64705882352941
297,39.75903614457831,36.904761904761905
298,39.75903614457831,37.34939759036144
299,38.55421686746988,36.58536585365854
300,37.34939759036144,35.80246913580247
301,36.144578313253014,36.25
302,34.93975903614458,36.708860759493675
303,33.734939759036145,35.8974358974359
304,33.734939759036145,36.36363636363637
305,34.93975903614458,36.36363636363637
306,34.93975903614458,36.36363636363637
307,34.93975903614458,35.064935064935064
308,36.144578313253014,35.064935064935064
309,34.93975903614458,33.76623376623377
310,34.93975903614458,33.76623376623377
311,36.144578313253014,33.76623376623377
312,34.93975903614458,33.76623376623377
313,34.93975903614458,32.467532467532465
314,33.734939759036145,31.16883116883117
315,33.734939759036145,31.16883116883117
316,33.734939759036145,31.16883116883117
317,34.93975903614458,29.87012987012987
318,33.734939759036145,28.57142857142857
319,34.93975903614458,28.57142857142857
320,34.93975903614458,27.27272727272727
321,33.734939759036145,26.31578947368421
322,33.734939759036145,26.666666666666668
323,33.734939759036145,25.675675675675674
324,33.734939759036145,26.027397260273972
325,33.734939759036145,26.38888888888889
326,33.734939759036145,25.352112676056336
327,33.734939759036145,25.71428571428571
328,32.53012048192771,24.637681159420293
329,32.53012048192771,23.52941176470588
330,32.53012048192771,22.388059701492537
331,32.53012048192771,22.727272727272727
332,32.142857142857146,23.076923076923077
333,31.76470588235294,23.4375
334,31.3953488372093,23.809523809523807
335,31.03448275862069,24.193548387096776
336,30.681818181818183,24.59016393442623
337,30.337078651685395,25.0
338,30.0,25.423728813559322
339,29.67032967032967,25.862068965517242
340,29.347826086956523,26.31578947368421
341,29.03225806451613,26.785714285714285
342,28.723404255319153,27.27272727272727
343,28.421052631578945,27.27272727272727
344,28.125,27.27272727272727
345,28.865979381443296,29.09090909090909
346,29.591836734693878,30.909090909090907
347,29.292929292929294,30.909090909090907
348,30.0,32.72727272727273
349,31.0,34.54545454545455
350,32.0,34.54545454545455
351,33.0,36.36363636363637
352,34.0,38.18181818181819
353,34.0,40.0
354,34.0,40.0
355,33.0,40.0
356,33.0,41.81818181818181
357,34.0,41.81818181818181
358,34.0,41.81818181818181
359,34.0,41.81818181818181
360,34.0,40.0
361,33.0,40.0
362,33.0,40.0
363,33.0,40.0
364,33.0,40.0
365,32.0,38.18181818181819
366,31.0,38.18181818181819
367,31.0,40.0
368,30.0,38.18181818181819
369,30.0,38.18181818181819
370,30.0,40.0
371,28.999999999999996,40.0
372,28.999999999999996,41.81818181818181
373,28.000000000000004,41.81818181818181
374,28.999999999999996,41.81818181818181
375,28.000000000000004,41.81818181818181
